Micro-Scenario,应用领域,用途分类,项目名称,Stars,核心意图,GitHub链接
效率工具,AI/LLM工具,AI其他应用,doanbactam/agent-skills-directory,11,"聚合AI工具技能文件目录",https://github.com/doanbactam/agent-skills-directory
效率工具,AI/LLM工具,AI聊天界面,The-Vibe-Company/companion,1238,"为Claude Code提供浏览器界面",https://github.com/The-Vibe-Company/companion
效率工具,AI/LLM工具,AI编程助手,Kochava-Studios/skwad,7,"多AI编程代理协同工作管理",https://github.com/Kochava-Studios/skwad
效率工具,开发工具/脚手架,前端框架模板,hrcosigntheta/travelblog-website-template,1,"提供旅行博客网站模板",https://github.com/hrcosigntheta/travelblog-website-template
效率工具,开发工具/脚手架,开发工具其他,The-Vibe-Company/companion,1238,"为Claude Code提供浏览器界面",https://github.com/The-Vibe-Company/companion
效率工具,开发工具/脚手架,CLI命令行工具,DataDog/pup,57,"封装Datadog API的命令行工具",https://github.com/DataDog/pup
效率工具,设计工具,设计工具其他,stonerl/Thaw,1042,"管理macOS菜单栏项目",https://github.com/stonerl/Thaw
效率工具,设计工具,UI/UX设计工具,The-Vibe-Company/companion,1238,"为Claude Code提供浏览器界面",https://github.com/The-Vibe-Company/companion
效率工具,设计工具,设计系统构建,engrate/eg-components,0,"提供遵循品牌规范的React组件库",https://github.com/engrate/eg-components
效率工具,编译器/开发环境,编译器/开发环境其他,chefkjd/MixSplitR,34,"自动分割并识别音乐混音文件",https://github.com/chefkjd/MixSplitR
效率工具,编译器/开发环境,数据分析工具,op7418/Video-Wrapper-Skills,163,"为访谈视频自动添加视觉特效",https://github.com/op7418/Video-Wrapper-Skills
效率工具,编译器/开发环境,监控工具,safwanits123/AntigravityMobile,1,"移动端监控AI对话与配额",https://github.com/safwanits123/AntigravityMobile
效率工具,网站/门户,网站其他,The-Vibe-Company/companion,1238,"为Claude Code提供浏览器界面",https://github.com/The-Vibe-Company/companion
效率工具,网站/门户,个人博客网站,hrcosigntheta/travelblog-website-template,1,"提供旅行博客网站模板",https://github.com/hrcosigntheta/travelblog-website-template
效率工具,网站/门户,作品集展示站,lusgro/places-viewer,0,"可视化展示Google Places数据",https://github.com/lusgro/places-viewer
效率工具,企业管理,企业管理其他,eljojo/rememory,868,"通过秘密共享实现离线数据恢复",https://github.com/eljojo/rememory
效率工具,企业管理,项目管理系统,stonerl/Thaw,1042,"管理macOS菜单栏项目",https://github.com/stonerl/Thaw
效率工具,企业管理,后台管理系统,divyalahane/adminpanel,0,"提供React+Vite管理面板模板",https://github.com/divyalahane/adminpanel
效率工具,自动化/工作流,自动化其他,op7418/Video-Wrapper-Skills,163,"为访谈视频自动添加视觉特效",https://github.com/op7418/Video-Wrapper-Skills
效率工具,自动化/工作流,CI/CD自动化,Kaiser-love/daily-report-webpage,0,"自动部署日报网页",https://github.com/Kaiser-love/daily-report-webpage
效率工具,自动化/工作流,数据处理自动化,haidara02/easiroster,0,"将排班数据自动同步到日历",https://github.com/haidara02/easiroster
