full_name,html_url,description,created_at,stars,language,query
The-Vibe-Company/companion,https://github.com/The-Vibe-Company/companion,"Web UI for Claude Code built on a reverse-engineered WebSocket protocol. Launch sessions, stream responses, approve tools.  All from your browser / mobile",2026-02-07T06:45:00Z,886,TypeScript,claude code created:>2026-01-27
lynaghk/vibe,https://github.com/lynaghk/vibe,Easy Linux virtual machine on MacOS to sandbox LLM agents.,2026-01-28T13:04:55Z,684,Rust,vibe coding in:readme created:>2026-01-27
vibe-music/vibe-music-web,https://github.com/vibe-music/vibe-music-web,"Open-source cloud music player with a bring-your-own-music model. Local control, optional sync, zero platform dependency.",2026-01-31T18:44:31Z,165,JavaScript,vibe coding in:readme created:>2026-01-27
BehiSecc/VibeSec-Skill,https://github.com/BehiSecc/VibeSec-Skill,This skill helps Claude write secure code and prevent common vulnerabilities.,2026-02-02T07:10:42Z,420,Unknown,claude code created:>2026-01-27
zarazhangrui/frontend-slides,https://github.com/zarazhangrui/frontend-slides,Create beautiful slides on the web using Claude's frontend skills,2026-01-28T00:42:34Z,828,Unknown,ai coding in:readme created:>2026-01-27
autogame-17/evolver,https://github.com/autogame-17/evolver,The Self-Evolving Agent Protocol (PCEC). It writes its own code.,2026-02-01T05:59:24Z,393,JavaScript,vibe coding in:readme created:>2026-01-27
RefoundAI/lenny-skills,https://github.com/RefoundAI/lenny-skills,"86 product management skills from Lenny's Podcast for Claude Code and AI agents. Hiring, user research, strategy, shipping, and more.",2026-01-29T16:14:48Z,181,Unknown,ai coding in:readme created:>2026-01-27
Neurons-AI/vibecodekit,https://github.com/Neurons-AI/vibecodekit,Vibe Coding Kit from Neurons AI,2026-02-01T19:02:56Z,6,Dockerfile,vibe coding in:readme created:>2026-01-27
jonathanpeppers/agentic-engineers,https://github.com/jonathanpeppers/agentic-engineers,"Documents and links from our group, ""Agentic Engineers"", at Microsoft.",2026-01-30T16:13:02Z,8,Unknown,vibe coding in:readme created:>2026-01-27
alexandrepedrosaai/Manus-Copilot-Github-Anomalis-Coopetition-Integration,https://github.com/alexandrepedrosaai/Manus-Copilot-Github-Anomalis-Coopetition-Integration,"The Manus Connector played a central role in boosting GitHub Copilot’s efficiency for site and API creation (PROTO-AGI). Acting as a Blockchain‑linked AI agent, it ensured auditability and governance.",2026-02-01T05:05:53Z,9,Go,vibe coding in:readme created:>2026-01-27
voytek/tocify,https://github.com/voytek/tocify,Ingest ToCs and push links to papers relevant to me,2026-02-05T00:44:01Z,8,Python,vibe coding in:readme created:>2026-01-27
anombyte93/claude-session-init,https://github.com/anombyte93/claude-session-init,"Claude Code skill: bootstraps session context, organizes project files, generates CLAUDE.md",2026-02-10T01:06:14Z,34,Shell,claude code created:>2026-01-27
seedprod/openclaw-prompts-and-skills,https://github.com/seedprod/openclaw-prompts-and-skills,Telegram bot that talks to headless Claude Code - proof of concept,2026-01-31T14:24:10Z,33,Python,vibe coding in:readme created:>2026-01-27
nclamvn/bom-control-ui,https://github.com/nclamvn/bom-control-ui,BỜM Control UI - Standalone gateway control interface,2026-02-01T04:19:35Z,9,TypeScript,vibe coding in:readme created:>2026-01-27
GCWing/BitFun,https://github.com/GCWing/BitFun,"BitFun is an Agentic Development Environment (ADE) featuring a cutting-edge Code Agent system with four modes — Agentic, Plan, Debug, and Review. Extensible via MCP, Skills, custom Agents and Rules. B",2026-02-02T09:52:10Z,19,TypeScript,vibe coding in:readme created:>2026-01-27
1702KAI/bugs-bunny-ai,https://github.com/1702KAI/bugs-bunny-ai,ehehehehe,2026-02-06T08:08:24Z,0,Python,vibe coding in:readme created:>2026-01-27
springmusk026/Il2CppDumper-Python,https://github.com/springmusk026/Il2CppDumper-Python,A high-performance tool for extracting metadata from Unity IL2CPP compiled games.,2026-02-03T02:21:50Z,10,Python,vibe coding in:readme created:>2026-01-27
YuanheZ/lean-stat-learning-theory,https://github.com/YuanheZ/lean-stat-learning-theory,"The first comprehensive Lean 4 formalization of statistical learning theory, featuring Gaussian Lipschitz concentration and Dudley's entropy integral-establishes a reusable foundation for formalizing ",2026-02-01T19:34:28Z,24,Lean,vibe coding in:readme created:>2026-01-27
tobieapb/claude-interactive-documentation-workflow,https://github.com/tobieapb/claude-interactive-documentation-workflow,"I used to whiteboard, then code. Now I markdown, then code. This is how I vibe-code: I can direct, guardrail, and understand the LLM-built code, come back to it 6 months later and actually understand ",2026-02-01T16:10:24Z,88,Unknown,claude code created:>2026-01-27
hwanyu112/VIBE-Benchmark,https://github.com/hwanyu112/VIBE-Benchmark,,2026-02-02T05:48:36Z,21,Python,vibe coding in:readme created:>2026-01-27
Spinotek-Organization/spinotek-hima-ti-polhas,https://github.com/Spinotek-Organization/spinotek-hima-ti-polhas,,2026-02-02T11:46:57Z,0,HTML,vibe coding in:readme created:>2026-01-27
knot0-com/vibe-testing,https://github.com/knot0-com/vibe-testing,"Pressure-test your specs with LLM reasoning before writing code. Agent skill for Claude Code, Codex, Gemini CLI, and 14+ coding agents.",2026-02-01T04:13:58Z,10,Unknown,vibe coding in:readme created:>2026-01-27
chongdashu/love2d-pocket-bomber-game,https://github.com/chongdashu/love2d-pocket-bomber-game,Vibe code a bomberman clone using Claude Code and Love2D skills,2026-01-30T16:42:53Z,9,Lua,vibe coding in:readme created:>2026-01-27
verylabs/veryterm,https://github.com/verylabs/veryterm,"Multi-project terminal manager for vibe coders — manage CLI tools, dev servers, and prompt history in one window ",2026-02-06T14:38:55Z,14,TypeScript,vibe coding in:readme created:>2026-01-27
ncr5012/executive,https://github.com/ncr5012/executive,An app to maximize the very best of human developer skills: executive control of AI Agents,2026-02-01T15:11:02Z,19,HTML,vibe coding in:readme created:>2026-01-27
aresbit/MateBot,https://github.com/aresbit/MateBot,"kimi code agent of tg, with Claude Code Yolo style",2026-01-28T13:59:13Z,38,JavaScript,vibe coding in:readme created:>2026-01-27
cuongpt083/smart-pole-skill,https://github.com/cuongpt083/smart-pole-skill,Use SMART POLE prompt engineering to enrichment your LLM Prompt,2026-01-29T01:39:08Z,22,Unknown,vibe coding in:readme created:>2026-01-27
KylerD/vibe-check,https://github.com/KylerD/vibe-check,,2026-01-29T10:08:32Z,6,JavaScript,vibe coding in:readme created:>2026-01-27
fufankeji/VibeCodingCourse_v1,https://github.com/fufankeji/VibeCodingCourse_v1,Vibe Coding AI Full Stack Development Practical Training 2026 · The First AI Programming Bootcamp,2026-02-02T06:06:21Z,9,HTML,vibe coding in:readme created:>2026-01-27
