repo_id,repo_name,repo_url,stars,description,language,topics,tier,size_kb,ai_generation_score,core_intent,macro_category,micro_scenario,complexity_level,analytical_insight,analyzed_at,tokens_input,tokens_output,api_cost_cny,retry_count
1144089337,TechmoHamster/ultimate-scavenger,https://github.com/TechmoHamster/ultimate-scavenger,0,,TypeScript,[],silent,274,5,基于Next.js的默认模板项目,产品与系统原型,other,1,反映了AI辅助开发工具（如Vercel AI模板）降低了Web应用启动门槛，开发者更倾向于从标准化模板开始快速原型验证。,2026-02-11T10:37:34.853504,1610,100,0.00181,0
1144597206,siddhartha-tech-try/TrigonCompiler-frontend,https://github.com/siddhartha-tech-try/TrigonCompiler-frontend,0,This is a online compiler.,TypeScript,[],silent,341,5,在线编译器的前端界面,产品与系统原型,productivity,2,该项目反映了开发者利用AI快速生成标准化前端模板的趋势，降低了从零开始构建Web应用的门槛，但可能缺乏深度定制和创新。,2026-02-11T10:37:34.919347,1952,98,0.002148,0
1144301022,nicking94/UA-testing,https://github.com/nicking94/UA-testing,0,,TypeScript,[],silent,959,1,重构管理系统为前后端分离架构,产品与系统原型,business_automation,4,反映了中小型企业从本地存储向云端数据库迁移的现代化趋势，以及开发者采用monorepo架构统一管理前后端项目的工程实践。,2026-02-11T10:37:35.020885,2427,102,0.002631,0
1144606853,ggarciaperion/santo-dilema,https://github.com/ggarciaperion/santo-dilema,0,Dark kitchen,TypeScript,[],silent,40347,2,为暗厨餐厅提供在线点餐系统,产品与系统原型,ecommerce,3,反映了小型餐饮企业数字化转型趋势，利用现代Web技术栈快速构建最小可行产品，从JSON文件存储起步逐步演进到数据库，体现了敏捷开发理念在实体业务中的应用。,2026-02-11T10:37:35.629910,2110,110,0.00233,0
1144121415,charleykwon/momgyeot,https://github.com/charleykwon/momgyeot,0,,TypeScript,[],silent,8303,1,为应用提供管理后台与数据分析,产品与系统原型,business_automation,4,该项目反映了低代码/无代码工具（如Supabase、Vercel）与全栈框架（如Next.js）结合，加速企业级内部工具开发的趋势，强调快速原型与数据驱动的管理。,2026-02-11T10:37:35.979559,2665,113,0.002891,0
1143969118,murphysheldon05/tsmroofpro,https://github.com/murphysheldon05/tsmroofpro,0,,TypeScript,[],silent,3424,5,基于AI快速构建Web应用原型,产品与系统原型,other,2,该项目反映了AI原生开发平台的兴起，通过低代码或无代码方式加速产品原型构建，降低了技术门槛，使开发者能更专注于创意实现而非基础设施搭建。,2026-02-11T10:37:39.764920,1798,100,0.001998,0
1143768339,WendleyCunha/desenvolvimento,https://github.com/WendleyCunha/desenvolvimento,0,,Python,[],silent,538,1,学习或练习编程,个人效能与辅助工具,education,1,该项目反映了开发者通过创建简单仓库来学习和实践编程技能的趋势，体现了开源平台作为个人学习工具的低门槛使用。,2026-02-11T10:37:40.035550,1212,89,0.00139,0
1144504659,sotikdima1975-star/sotikdimasite,https://github.com/sotikdima1975-star/sotikdimasite,0,,HTML,[],silent,24440,1,个人网站或项目展示,产品与系统原型,other,1,该项目反映了个人开发者通过简单静态网站快速建立在线存在的趋势，可能用于个人品牌或项目展示，但缺乏明确业务逻辑，属于基础网络发布。,2026-02-11T10:37:40.062381,1225,97,0.001419,0
1143902499,johnkoht/arete,https://github.com/johnkoht/arete,0,,TypeScript,[],silent,768,5,为产品经理提供AI辅助工作空间,产品与系统原型,productivity,4,该项目体现了AI原生开发工具向垂直职业场景深度渗透的趋势，通过结构化工作流和上下文管理，将AI从通用编程助手转变为专业领域的工作伙伴。,2026-02-11T10:37:40.206816,2594,106,0.002806,0
1144175118,lucassynnott/AIAA-Agentic-OS,https://github.com/lucassynnott/AIAA-Agentic-OS,0,"AI Agency Automation - Agentic Operating System with Railway Dashboard, automated workflows, and self-annealing capabilities",Python,[],silent,13473,5,通过AI代理自动化营销工作流,产品与系统原型,business_automation,5,该项目体现了AI代理从辅助工具向完整操作系统演进的趋势，通过结构化指令与执行分离的架构，将LLM的决策能力与确定性脚本结合，实现复杂商业流程的端到端自动化。,2026-02-11T10:37:40.587238,3984,117,0.004218,0
