Micro-Scenario,应用领域,用途分类,项目名称,Stars,核心意图,GitHub链接
效率工具,AI/LLM工具,通用工具,doanbactam/agent-skills-directory,11,"聚合AI工具技能文件目录",https://github.com/doanbactam/agent-skills-directory
效率工具,AI/LLM工具,生成工具,TechmoHamster/ultimate-scavenger,0,"创建Next.js应用模板",https://github.com/TechmoHamster/ultimate-scavenger
效率工具,AI/LLM工具,AI内容生成,op7418/Video-Wrapper-Skills,163,"为访谈视频自动添加视觉特效",https://github.com/op7418/Video-Wrapper-Skills
效率工具,开发工具/脚手架,项目模板,rhstanton/accessible_LaTeX,2,"创建符合无障碍标准的LaTeX模板",https://github.com/rhstanton/accessible_LaTeX
效率工具,开发工具/脚手架,通用工具,The-Vibe-Company/companion,1238,"为Claude Code提供浏览器界面",https://github.com/The-Vibe-Company/companion
效率工具,开发工具/脚手架,CLI工具,DataDog/pup,57,"封装Datadog API的命令行工具",https://github.com/DataDog/pup
效率工具,设计工具,通用工具,eljojo/rememory,868,"通过秘密共享实现离线数据恢复",https://github.com/eljojo/rememory
效率工具,设计工具,生成工具,TechmoHamster/ultimate-scavenger,0,"创建Next.js应用模板",https://github.com/TechmoHamster/ultimate-scavenger
效率工具,设计工具,UI/UX设计,The-Vibe-Company/companion,1238,"为Claude Code提供浏览器界面",https://github.com/The-Vibe-Company/companion
效率工具,编译器/开发环境,通用工具,chefkjd/MixSplitR,34,"自动分割并识别音乐混音文件",https://github.com/chefkjd/MixSplitR
效率工具,编译器/开发环境,分析工具,op7418/Video-Wrapper-Skills,163,"为访谈视频自动添加视觉特效",https://github.com/op7418/Video-Wrapper-Skills
效率工具,编译器/开发环境,监控工具,safwanits123/AntigravityMobile,1,"移动端监控AI对话与配额",https://github.com/safwanits123/AntigravityMobile
效率工具,网站/门户,通用工具,The-Vibe-Company/companion,1238,"为Claude Code提供浏览器界面",https://github.com/The-Vibe-Company/companion
效率工具,网站/门户,生成工具,murphysheldon05/tsmroofpro,0,"基于Lovable平台的AI生成Web应用",https://github.com/murphysheldon05/tsmroofpro
效率工具,网站/门户,个人网站/博客,hrcosigntheta/travelblog-website-template,1,"提供旅行博客网站模板",https://github.com/hrcosigntheta/travelblog-website-template
效率工具,企业管理,项目管理,stonerl/Thaw,1042,"管理macOS菜单栏项目",https://github.com/stonerl/Thaw
效率工具,企业管理,通用工具,eljojo/rememory,868,"通过秘密共享实现离线数据恢复",https://github.com/eljojo/rememory
效率工具,企业管理,生成工具,Rast1234/ToolStation,2,"为PS3游戏创建自定义启动器包",https://github.com/Rast1234/ToolStation
效率工具,自动化/工作流,通用工具,aspain/git-sweaty,49,"将Strava运动数据可视化为GitHub贡献热图",https://github.com/aspain/git-sweaty
效率工具,自动化/工作流,任务自动化,hrygo/divinesense,6,"通过AI代理自动化个人任务与信息管理",https://github.com/hrygo/divinesense
效率工具,自动化/工作流,生成工具,Rast1234/ToolStation,2,"为PS3游戏创建自定义启动器包",https://github.com/Rast1234/ToolStation
效率工具,教育学习,通用工具,shah1398/tepo98,2,"项目意图未知",https://github.com/shah1398/tepo98
效率工具,教育学习,分析工具,LucasMesquitaAlc/analise-ecommerce-Olist,0,"分析巴西电商销售数据",https://github.com/LucasMesquitaAlc/analise-ecommerce-Olist
效率工具,教育学习,生成工具,rhstanton/accessible_LaTeX,2,"创建符合无障碍标准的LaTeX模板",https://github.com/rhstanton/accessible_LaTeX
效率工具,数据可视化/BI,通用工具,The-Vibe-Company/companion,1238,"为Claude Code提供浏览器界面",https://github.com/The-Vibe-Company/companion
效率工具,数据可视化/BI,分析工具,GaneshPokharel-tech/Tesla-Stock-Market-Analysis-and-Prediction,0,"分析特斯拉股价并预测走势",https://github.com/GaneshPokharel-tech/Tesla-Stock-Market-Analysis-and-Prediction
效率工具,数据可视化/BI,仪表盘/Dashboard,accius/openhamclock,270,"业余无线电操作员的实时数据仪表盘",https://github.com/accius/openhamclock
效率工具,代理/网关,通用工具,wondelai/skills,93,"为AI代理提供商业知识技能库",https://github.com/wondelai/skills
效率工具,代理/网关,管理系统,Kochava-Studios/skwad,7,"多AI编程代理协同工作管理",https://github.com/Kochava-Studios/skwad
效率工具,代理/网关,生成工具,realmarcin/repo-research-writer,1,"将代码仓库自动生成学术论文",https://github.com/realmarcin/repo-research-writer
效率工具,内容管理系统,通用工具,hrcosigntheta/travelblog-website-template,1,"提供旅行博客网站模板",https://github.com/hrcosigntheta/travelblog-website-template
效率工具,内容管理系统,管理系统,sosaheri/kumi-cms,2,"基于文件的内容管理系统",https://github.com/sosaheri/kumi-cms
效率工具,内容管理系统,生成工具,AuthorityTech/authoritytech-blog,0,"从Google Sheets拉取内容生成博客",https://github.com/AuthorityTech/authoritytech-blog
效率工具,媒体/视频,通用工具,loguefx/Jellyfin_MetaData_Renamer,1,"自动重命名Jellyfin媒体库文件夹以匹配元数据",https://github.com/loguefx/Jellyfin_MetaData_Renamer
效率工具,媒体/视频,视频编辑,op7418/Video-Wrapper-Skills,163,"为访谈视频自动添加视觉特效",https://github.com/op7418/Video-Wrapper-Skills
效率工具,媒体/视频,音频处理,chefkjd/MixSplitR,34,"自动分割并识别音乐混音文件",https://github.com/chefkjd/MixSplitR
效率工具,金融/交易,交易/投资,Youssef123468/okx-fake-balance,0,"模拟OKX交易所假余额用于测试",https://github.com/Youssef123468/okx-fake-balance
效率工具,金融/交易,金融分析,GaneshPokharel-tech/Tesla-Stock-Market-Analysis-and-Prediction,0,"分析特斯拉股价并预测走势",https://github.com/GaneshPokharel-tech/Tesla-Stock-Market-Analysis-and-Prediction
效率工具,金融/交易,通用工具,wumoztw/TitanCore-Dashboard,0,"显示加密货币和外汇的一目均衡表信号",https://github.com/wumoztw/TitanCore-Dashboard
效率工具,社交/社区,通用工具,shah1398/tepo98,2,"项目意图未知",https://github.com/shah1398/tepo98
效率工具,社交/社区,即时通讯,accius/openhamclock,270,"业余无线电操作员的实时数据仪表盘",https://github.com/accius/openhamclock
效率工具,社交/社区,生成工具,Rast1234/ToolStation,2,"为PS3游戏创建自定义启动器包",https://github.com/Rast1234/ToolStation
效率工具,安全/隐私,通用工具,eljojo/rememory,868,"通过秘密共享实现离线数据恢复",https://github.com/eljojo/rememory
效率工具,安全/隐私,管理系统,arpanghosh8453/dji-logbook,60,"分析和管理无人机飞行日志",https://github.com/arpanghosh8453/dji-logbook
效率工具,安全/隐私,生成工具,WANTKYY/hardstop,1,"防止AI生成危险命令执行",https://github.com/WANTKYY/hardstop
效率工具,电商平台,通用工具,AnastasiyaPolyanskaya/User-Journey-Testing-holodilnik.ru,0,"测试电商网站用户旅程",https://github.com/AnastasiyaPolyanskaya/User-Journey-Testing-holodilnik.ru
效率工具,电商平台,生成工具,molly-pemulis/horizon-theme,0,"为Shopify商店创建自定义主题",https://github.com/molly-pemulis/horizon-theme
效率工具,电商平台,分析工具,LucasMesquitaAlc/analise-ecommerce-Olist,0,"分析巴西电商销售数据",https://github.com/LucasMesquitaAlc/analise-ecommerce-Olist
效率工具,其他,通用工具,nickustinov/itsytv-macos,251,"在macOS菜单栏控制Apple TV",https://github.com/nickustinov/itsytv-macos
效率工具,其他,生成工具,Yarexsi/qr-wifi-cliente,0,"生成WiFi连接的二维码",https://github.com/Yarexsi/qr-wifi-cliente
效率工具,游戏/娱乐,通用工具,Ilari-Tu/Wordle,0,"寻找Wordle游戏最优开局词",https://github.com/Ilari-Tu/Wordle
效率工具,游戏/娱乐,生成工具,Rast1234/ToolStation,2,"为PS3游戏创建自定义启动器包",https://github.com/Rast1234/ToolStation
效率工具,游戏/娱乐,游戏Mod/插件,agentic-dev-io/claude-plugins,0,"为Claude Code开发插件",https://github.com/agentic-dev-io/claude-plugins
效率工具,物联网/硬件,通用工具,sup3rflyer/DesktopLUT,1,"实时校正Windows桌面色彩显示",https://github.com/sup3rflyer/DesktopLUT
效率工具,物联网/硬件,监控工具,Drill23/pi-usage-monitor,0,"监控树莓派使用情况",https://github.com/Drill23/pi-usage-monitor
效率工具,物联网/硬件,生成工具,hey-codes/paperterm,0,"为越狱Kindle创建终端风格仪表盘",https://github.com/hey-codes/paperterm
效率工具,医疗健康,通用工具,aspain/git-sweaty,49,"将Strava运动数据可视化为GitHub贡献热图",https://github.com/aspain/git-sweaty
效率工具,医疗健康,医疗管理,Obeng-Sam10/HEALTHOPS_RS,0,"监控医疗系统日志与网络活动",https://github.com/Obeng-Sam10/HEALTHOPS_RS
技术基础设施,AI/LLM工具,AI代理/智能体,lukehinds/nono,314,"为AI代理提供内核级安全沙箱",https://github.com/lukehinds/nono
技术基础设施,AI/LLM工具,通用工具,ibelick/webclaw,383,"为OpenClaw提供快速Web客户端",https://github.com/ibelick/webclaw
技术基础设施,AI/LLM工具,AI交互界面,grp06/openclaw-studio,370,"通过WebSocket管理OpenClaw代理的UI界面",https://github.com/grp06/openclaw-studio
技术基础设施,数据可视化/BI,通用工具,TIGER-AI-Lab/OpenResearcher,174,"训练用于深度研究的开源AI模型",https://github.com/TIGER-AI-Lab/OpenResearcher
技术基础设施,数据可视化/BI,分析工具,e-cesar9/spacex-orbital-intelligence,4,"卫星轨道可视化与碰撞分析",https://github.com/e-cesar9/spacex-orbital-intelligence
技术基础设施,数据可视化/BI,管理系统,grp06/openclaw-studio,370,"通过WebSocket管理OpenClaw代理的UI界面",https://github.com/grp06/openclaw-studio
技术基础设施,社交/社区,通用工具,RogueMaster/ProtoPirate,30,"解码汽车钥匙滚动码协议",https://github.com/RogueMaster/ProtoPirate
技术基础设施,社交/社区,即时通讯,kacy/ember,5,"用Rust实现高性能分布式缓存",https://github.com/kacy/ember
技术基础设施,社交/社区,管理系统,nfqws/nfqws-keenetic-web,43,"为路由器提供Web管理界面",https://github.com/nfqws/nfqws-keenetic-web
技术基础设施,代理/网关,通用工具,lukehinds/nono,314,"为AI代理提供内核级安全沙箱",https://github.com/lukehinds/nono
技术基础设施,代理/网关,API网关,dependabot/proxy,118,"为依赖更新工具添加认证代理",https://github.com/dependabot/proxy
技术基础设施,代理/网关,管理系统,grp06/openclaw-studio,370,"通过WebSocket管理OpenClaw代理的UI界面",https://github.com/grp06/openclaw-studio
技术基础设施,企业管理,通用工具,terminalcraft/moltbook-mcp,6,"为AI社交网络提供状态跟踪服务",https://github.com/terminalcraft/moltbook-mcp
技术基础设施,企业管理,项目管理,grp06/openclaw-studio,370,"通过WebSocket管理OpenClaw代理的UI界面",https://github.com/grp06/openclaw-studio
技术基础设施,企业管理,分析工具,taggedzi/Repo-Interrogator,1,"为AI工具提供本地代码仓库分析服务",https://github.com/taggedzi/Repo-Interrogator
技术基础设施,物联网/硬件,通用工具,eval-exec/neomacs,206,"用Rust重写Emacs以支持GPU加速",https://github.com/eval-exec/neomacs
技术基础设施,物联网/硬件,分析工具,DecisionNerd/graphforge,0,"为Python分析工作流提供嵌入式图数据库",https://github.com/DecisionNerd/graphforge
技术基础设施,物联网/硬件,管理系统,DeepEyeCrypto/DeepEyeUnlocker,1,"解锁手机并管理固件",https://github.com/DeepEyeCrypto/DeepEyeUnlocker
技术基础设施,自动化/工作流,通用工具,vercel-labs/agent-eval,67,"评估AI编程代理在框架中的表现",https://github.com/vercel-labs/agent-eval
技术基础设施,自动化/工作流,工作流引擎,mikearnaldi/cruster,52,"构建分布式状态实体与持久化工作流框架",https://github.com/mikearnaldi/cruster
技术基础设施,自动化/工作流,任务自动化,JAlavindu/autonomous-AI-job-orechestrator,2,"用强化学习优化任务调度",https://github.com/JAlavindu/autonomous-AI-job-orechestrator
技术基础设施,电商平台,通用工具,po-sen/ChainTx,0,"提供多资产收款请求的HTTP服务",https://github.com/po-sen/ChainTx
技术基础设施,金融/交易,通用工具,po-sen/ChainTx,0,"提供多资产收款请求的HTTP服务",https://github.com/po-sen/ChainTx
技术基础设施,金融/交易,交易/投资,akfamily/akquant,41,"量化投资回测与策略开发框架",https://github.com/akfamily/akquant
技术基础设施,金融/交易,加密货币,max-de-bug/solana_web3.js_on_steroids,0,"增强 Solana 区块链交互的可靠性和性能",https://github.com/max-de-bug/solana_web3.js_on_steroids
技术基础设施,内容管理系统,通用工具,Link2Twenty/strapi-identity,1,"为Strapi添加多因素认证功能",https://github.com/Link2Twenty/strapi-identity
技术基础设施,内容管理系统,管理系统,jeremysykes/aro-studio-apps-dev,0,"管理设计系统的模块化平台",https://github.com/jeremysykes/aro-studio-apps-dev
技术基础设施,设计工具,通用工具,eval-exec/neomacs,206,"用Rust重写Emacs以支持GPU加速",https://github.com/eval-exec/neomacs
技术基础设施,设计工具,UI/UX设计,grp06/openclaw-studio,370,"通过WebSocket管理OpenClaw代理的UI界面",https://github.com/grp06/openclaw-studio
技术基础设施,设计工具,生成工具,rubiojr/rugo,15,"创建融合Ruby语法和Shell功能的Go语言编译器",https://github.com/rubiojr/rugo
技术基础设施,开发工具/脚手架,项目模板,instituteofexcellence2022-code/bookmylib,0,"基于Next.js模板的默认项目",https://github.com/instituteofexcellence2022-code/bookmylib
